Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,52900,-92.57863,87,,,,,,
,,,,,53000,,,10.281198501586914,51.41447830200195,52.123172760009766,89.24935150146484,0.6819999999999999,0.001
,,,,,53030,-38.37021,130,,,,,,
,,,,,53157,-99.825356,127,,,,,,
,,,,,53259,-89.66121,102,,,,,,
,,,,,54000,,,9.59140396118164,55.425472259521484,54.77536392211914,105.9710693359375,0.6759999999999999,0.001
,,,,,54259,43.943413,1000,,,,,,
,,,,,54341,-83.31225,82,,,,,,
,,,,,54449,-47.36238,108,,,,,,
,,,,,54568,-59.59543,119,,,,,,
,,,,,54688,-66.40989,120,,,,,,
,,,,,54811,-40.869682,123,,,,,,
,,,,,54969,-29.6026,158,,,,,,
,,,,,55000,,,17.391374588012695,69.11705017089844,70.19743347167969,144.46539306640625,0.67,0.001
,,,,,55069,-41.763474,100,,,,,,
,,,,,55167,-95.58256,98,,,,,,
